version,k,m,size,comps,swaps,stime,utime,totaltime
1,0,0,1000,12484,8130,0,0.039724,0.039724
1,0,0,5000,78524,48528,0.000162,0.181689,0.181851
1,0,0,10000,172344,104238,0,0.385323,0.385323
1,0,0,50000,1059365,595293,0,2.19619,2.19619
1,0,0,100000,2340075,1254534,3.9e-05,4.50413,4.50417
1,0,0,500000,12826689,7103157,0.000188,25.2696,25.2698
1,0,0,1000000,26213229,15045597,0.000242,53.3191,53.3194
2,3,0,1000,13421,8127,0.003051,0.03606,0.039111
2,3,0,5000,81112,48615,0.000615,0.178713,0.179328
2,3,0,10000,176101,104406,0.000163,0.380348,0.380511
2,3,0,50000,1113638,598662,0.000186,2.19185,2.19203
2,3,0,100000,2283938,1262859,0,4.56266,4.56266
2,3,0,500000,12631256,7162653,0,25.628,25.628
2,3,0,1000000,27140048,14949405,2.8e-05,53.4268,53.4268
2,5,0,1000,14375,8055,0,0.040726,0.040726
2,5,0,5000,80640,48441,0.000207,0.181779,0.181986
2,5,0,10000,181503,103779,7.4e-05,0.397559,0.397633
2,5,0,50000,1085536,596967,6.6e-05,2.22955,2.22961
2,5,0,100000,2195628,1279941,0,4.62236,4.62236
2,5,0,500000,12404768,7208328,0.000116,26.2514,26.2515
2,5,0,1000000,26633129,15025284,4e-06,53.7997,53.7997
2,7,0,1000,12473,8172,0,0.039403,0.039403
2,7,0,5000,85321,48111,0,0.178451,0.178451
2,7,0,10000,170411,105018,5.7e-05,0.385655,0.385712
2,7,0,50000,1141942,596106,3.7e-05,2.18747,2.18751
2,7,0,100000,2187027,1276725,4e-05,4.62424,4.62428
2,7,0,500000,12858442,7169157,0,25.761,25.761
2,7,0,1000000,27237806,15010911,6.8e-05,53.8221,53.8222
3,0,10,1000,9925,7650,0.000733,0.027109,0.027842
3,0,10,5000,66087,46365,0.000254,0.144442,0.144696
3,0,10,10000,147518,99846,0,0.313439,0.313439
3,0,10,50000,934777,573282,5.8e-05,1.83389,1.83395
3,0,10,100000,2091365,1211253,0.000251,3.8495,3.84975
3,0,10,500000,11586076,6885537,0.000415,21.9894,21.9898
3,0,10,1000000,23731820,14610639,0,47.0778,47.0778
3,0,100,1000,7593,5544,0.001296,0.024601,0.025897
3,0,100,5000,53590,37335,0.000328,0.114702,0.11503
3,0,100,10000,122497,80493,0.00014,0.244068,0.244208
3,0,100,50000,813515,479721,7.3e-05,1.5289,1.52898
3,0,100,100000,1848776,1024377,0.000157,3.17824,3.1784
3,0,100,500000,10356320,5948682,0.003973,18.5917,18.5957
3,0,100,1000000,21284135,12735423,0,42.008,42.008
4,0,0,1000,12484,8130,0,0.037392,0.037392
4,0,0,5000,78524,48528,2.1e-05,0.177491,0.177512
4,0,0,10000,172344,104238,0,0.380543,0.380543
4,0,0,50000,1059365,595293,0.000179,2.1777,2.17788
4,0,0,100000,2340075,1254534,4.4e-05,4.53904,4.53909
4,0,0,500000,12826689,7103157,0,25.4446,25.4446
4,0,0,1000000,26213229,15045597,0.004104,54.097,54.1011
5,0,0,1000,12484,8130,0.001648,0.03747,0.039118
5,0,0,5000,78524,48528,0.000605,0.177634,0.178239
5,0,0,10000,172344,104238,0,0.37794,0.37794
5,0,0,50000,1059365,595293,0.000307,2.18482,2.18513
5,0,0,100000,2340075,1254534,0,4.50873,4.50873
5,0,0,500000,12826689,7103157,0,25.2813,25.2813
5,0,0,1000000,26213229,15045597,0,53.377,53.377
7,0,0,1000,5427,15053,0,0.073021,0.073021
7,0,0,5000,32730,87229,0,0.446095,0.446095
7,0,0,10000,70481,184248,4.8e-05,0.921458,0.921506
7,0,0,50000,410752,1037158,0.000286,4.70114,4.70143
7,0,0,100000,870484,2175032,6.3e-05,7.3883,7.38836
7,0,0,500000,4950149,12024280,0.000368,41.155,41.1553
7,0,0,1000000,10400626,25050245,0.000161,87.0806,87.0807
6,0,0,1000,8680,19952,0.008036,0.115596,0.123632
6,0,0,5000,55209,123616,0.013304,0.432768,0.446072
6,0,0,10000,120481,267232,0.008203,0.99042,0.998623
6,0,0,50000,718068,1568928,0.135969,6.14703,6.283
6,0,0,100000,1536540,3337856,0.371971,12.1742,12.5462
6,0,0,500000,8837328,18951424,3.39932,67.6945,71.0938
6,0,0,1000000,18674365,39902848,10.5915,141.655,152.247
